,teamName,wins,losses,duration,kills,deaths,assists,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,firstBloods,firstTowers,firstInhibitors,firstBarons,firstDragons
1,100 Thieves,6,12,42966,148,176,378,20907202,7615029,10275100,3017004,1550987,729178,704926,116819,621712,220,2096575,1019565,242247,6035,2459,1930058,794792,1084158,51039,1273335,1189081,21060,4241,2779,461,54012,1451,814,0,3154,1196,104,16,18,34,8,617.8,503.3,40617.1,34380.7,31820.9,23817.4,35098.3,26288.6,6,8,7,8,6
2,Cloud9,7,11,39764,194,205,490,17916612,6736599,8340175,2839760,1344970,707638,582031,55245,605722,208,2070351,794833,212926,5428,2234,1941985,787759,1083704,70467,1156858,1062179,19393,3398,2418,203,67339,1426,764,0,2824,1084,85,14,12,35,4,609.9,498.7,40795.6,33966,31695.7,23448.1,39910.6,30363.3,9,3,6,6,6
3,Clutch Gaming,7,11,40820,126,161,332,18238641,7351970,8478500,2408090,1257014,658955,532402,65590,597209,188,1840503,878265,268540,5843,2115,1835793,725818,1035347,74571,1187842,1103249,20203,3873,2504,469,73455,1413,810,0,2908,1182,105,17,13,29,10,617.4,502.4,40442.9,34186.9,32298.5,24313.9,38296.3,27243.7,14,11,8,7,8
4,Counter Logic Gaming,11,7,41266,212,188,556,19520311,7947137,8804209,2768892,1543110,816787,659573,66695,700812,209,2234372,1046593,313979,6071,2254,2067512,808315,1156235,102889,1276803,1178547,19957,4069,2635,373,57575,1469,791,0,2999,1154,140,28,24,39,7,617.2,492.7,40508.8,33754.3,32554.8,23393.4,41449.2,28047.7,7,9,13,13,10
5,Echo Fox,6,12,41281,196,236,523,17941464,7662136,7781512,2497733,1485049,779388,631742,73847,617823,211,2248711,866674,234052,5727,2508,2106461,897662,1111705,97032,1208440,1140148,19347,3803,2587,284,68666,1437,803,0,2922,881,96,18,18,30,7,602.7,486.4,40043.1,33564.1,31185.8,23168.8,42575.8,29609.9,9,8,7,11,11
6,FlyQuest,12,6,42765,217,156,591,20638334,8746198,9032440,2859611,1595839,856387,651828,87558,676455,205,2285492,1230916,363431,6204,2518,1951911,772190,1106060,73607,1322396,1217798,21032,4348,2776,433,78545,1497,831,0,2966,1290,142,33,23,46,9,621.9,516.1,41049.4,34406.2,33463.3,23595.1,37512,27919.4,11,13,13,10,11
7,Golden Guardians,14,4,39645,219,156,582,19298666,8547934,7826797,2923851,1373536,776930,525116,71424,739030,226,2122207,1163902,363615,5627,2246,1850825,733013,1041419,76322,1263577,1123431,20187,3923,2474,433,61757,1463,743,0,2757,1200,152,30,19,42,10,609.9,514.7,39862.3,34359.9,32894.8,24139.8,39751.2,28263.6,11,11,12,13,10
8,OpTic Gaming,13,5,42309,198,154,516,20326928,7201442,10256689,2868709,1342159,665566,613298,63238,568889,209,2032961,1144100,327633,6174,2150,1816117,755142,995516,65397,1308113,1192613,21146,4276,2753,536,67607,1452,749,0,3009,1323,134,24,19,48,9,613.3,519.4,40280.3,34286,33500,23627.3,35972.6,27300.7,8,14,12,11,13
9,Team Liquid,7,11,36069,144,174,370,16047784,6203945,7166987,2676781,987865,525921,410724,51166,507179,199,1554119,710556,216873,5021,1678,1534148,622515,870825,40751,1057221,975386,18260,3428,2355,258,61042,1338,677,0,2539,1092,83,16,10,24,8,607,504.3,39883.7,34219.6,31434.1,23584.3,39429.7,27749,7,6,7,5,7
10,Team Solo Mid,7,11,42633,143,191,391,20635402,8251576,9663742,2720013,1232495,629221,537197,66019,734742,205,2209193,916132,248984,5962,1873,2029445,866940,1065827,96614,1253967,1165742,21157,4122,2833,307,62724,1438,806,0,2817,1178,94,15,20,26,7,615.9,504.6,39766.1,34434.6,30813.1,23802.2,36806.4,27175.4,8,7,5,6,8
