,teamName,win,duration,kills,deaths,assists,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
1,100 Thieves,0.666666667,2387,9.777777778,8.222222222,26.61111111,1092290.056,470088.3333,463218.3889,158978.8889,75223.22222,40521.5,31734.61111,2963.388889,35752.72222,11.27777778,134331.3889,60639.77778,18024.83333,345.2777778,118.8888889,114292.5556,43442.61111,63835.33333,7010.722222,71336.77778,65325.22222,1167.388889,209.6666667,135.7777778,21.05555556,3438.111111,80.55555556,44.5,0,164.5555556,74.94444444,34.30555556,27.68888889,2218.405556,1925.472222,1765.016667,1320.55,1949.9,1551.511111,0.666666667,0.555555556,0.611111111,0.555555556,0.666666667,0.444444444,7.5,1.777777778,1.277777778,2.222222222,0.444444444
2,Cloud9,0.611111111,2209.111111,11.38888889,10.77777778,29.88888889,1062019.222,417300.5,506966.2778,137748.2778,80499.44444,40469.77778,36234.27778,3792.055556,33494.16667,11.22222222,108937.3889,60475.88889,18362.55556,323.7777778,107.2777778,106735.2222,42976.55556,60360.16667,3394.666667,68994.38889,62751.83333,1101.111111,240.5,148.3888889,33.33333333,3602.666667,80.72222222,41.33333333,0,158.4444444,61.27777778,34.88888889,28.67777778,2273.433333,1944.333333,1841.288889,1364.638889,2353.755556,1655.855556,0.5,0.833333333,0.666666667,0.666666667,0.666666667,0.666666667,7.388888889,1.277777778,1.111111111,1.777777778,0.666666667
3,Clutch Gaming,0.611111111,2267.777778,8.944444444,7,23.5,1030696.111,438623.1111,490022.9444,102045.6667,71137.55556,37235.05556,29839.33333,4059.611111,30884.05556,12.05555556,111775.2222,59621.22222,16218.05556,329.1111111,124.1666667,95337.88889,39748.05556,51834.94444,3751.5,68976.66667,62844,1136.166667,218.3888889,139.2777778,19.22222222,3759.833333,80.05555556,47.38888889,0,156.8333333,67.88888889,34.85555556,27.60555556,2289.194444,1880.65,1784.677778,1295.983333,1928.166667,1511.033333,0.222222222,0.388888889,0.555555556,0.611111111,0.555555556,0.388888889,6.833333333,1.333333333,1.222222222,2.277777778,0.388888889
4,Counter Logic Gaming,0.388888889,2292.555556,10.44444444,11.77777778,28.33333333,1034703.389,406164.8889,475521,153012.9444,83673.61111,41420,36799,5451.055556,39320.77778,12.05555556,118239.1667,44930.05556,12925.22222,315.5555556,128.5555556,115999,48576.38889,63689.88889,3729.555556,66995.94444,62043.5,1100,202.2777778,146.7222222,12.44444444,3252.666667,79.83333333,46,0,155.6666667,65.61111111,33.27777778,27.62777778,2188.005556,1881.077778,1708.672222,1319.383333,2200.827778,1638.011111,0.611111111,0.5,0.277777778,0.277777778,0.444444444,0.333333333,5.444444444,1,0.611111111,1.777777778,0.333333333
5,Echo Fox,0.666666667,2293.388889,13.11111111,10.88888889,34.44444444,1237211.056,445963.6667,553101.4444,238141.8889,88461.66667,46301.44444,36574.5,5582.388889,52953.33333,11.11111111,119716.4444,65588.38889,17401.16667,310.5,140.1111111,118884.6111,47669.11111,66648.44444,4563.333333,71751.55556,66120.05556,1140.5,240.2777778,154.6111111,28.27777778,4508.444444,81.83333333,37.05555556,0,145.2222222,64.5,34.2,28.48888889,2323.405556,1897.322222,1872.922222,1336.655556,2469.588889,1607.566667,0.5,0.555555556,0.611111111,0.388888889,0.388888889,0.555555556,7.166666667,1.222222222,1.111111111,2.277777778,0.555555556
6,FlyQuest,0.333333333,2375.833333,8.666666667,12.05555556,25,1080796.944,416382.5,524186.1111,140224,77491.94444,39232.66667,34171.72222,4084.555556,38769.83333,12.38888889,134082.4444,49262.44444,12132.77778,320.5555556,137.3333333,118224.4444,50923.94444,62326.66667,4970.611111,69242.16667,64087.44444,1153.666667,224.2222222,153.6666667,21.16666667,3861,80.88888889,38.72222222,0,164.1666667,65.55555556,33.1,28.27222222,2148.488889,1895.866667,1693.066667,1304.055556,2252.105556,1525.994444,0.388888889,0.277777778,0.277777778,0.444444444,0.388888889,0.333333333,5.111111111,1,0.944444444,1.666666667,0.333333333
7,Golden Guardians,0.222222222,2202.5,8.666666667,12.16666667,23.11111111,996965,358951.6111,447252.4444,190756.2222,72180.33333,37268.16667,31286.11111,3622.222222,31765.88889,11.55555556,107603.7222,39023.66667,10383.27778,308.1666667,130.7222222,103764.3333,46340.22222,53627.27778,3793.388889,62974.22222,59129.33333,1073,193.2777778,133.8333333,17.66666667,3311,78.33333333,44.72222222,0,169,56.44444444,33.59444444,27.47777778,2214.266667,1851.405556,1748.594444,1271.172222,2273.844444,1553.166667,0.388888889,0.388888889,0.333333333,0.277777778,0.444444444,0.388888889,4.055555556,0.722222222,0.722222222,1.277777778,0.388888889
8,OpTic Gaming,0.277777778,2350.5,8.555555556,11,20,991418.0556,428894.1111,450154.0556,112365.7222,69121.22222,38438.16667,27341.55556,3338.166667,29243.22222,11.77777778,116421,49059,13508.61111,336.5555556,126.6666667,103151.5,40597.22222,58862.55556,3688.166667,66812.61111,61973.61111,1085.388889,218.2222222,148.1666667,12.72222222,3954.277778,78.66666667,46.66666667,0,169.8333333,66.22222222,31.40555556,26.80555556,2104.827778,1880.888889,1662.416667,1287.994444,2062.972222,1526.811111,0.555555556,0.222222222,0.333333333,0.388888889,0.277777778,0.333333333,5.055555556,0.777777778,1,1.5,0.333333333
9,Team Liquid,0.611111111,2003.833333,9.666666667,8,24.88888889,900024.8333,384597.7778,410010.3889,105412.4444,59553.55556,31618.05556,26153.94444,1778.166667,28785.66667,11.05555556,89410.55556,51086.5,17521.27778,303.8333333,99.55555556,82119.38889,32547.33333,46821.5,2747.166667,62319.33333,56416.61111,1044.555556,208.1666667,134.7222222,20.44444444,3087.333333,76.88888889,44.33333333,0,153,63.44444444,34.79444444,28.17222222,2308.372222,1898.027778,1895.055556,1314.516667,2123.961111,1500.433333,0.611111111,0.666666667,0.611111111,0.722222222,0.611111111,0.388888889,6.5,0.833333333,0.777777778,2.166666667,0.388888889
10,Team Solo Mid,0.611111111,2368.5,10.61111111,7.944444444,26.94444444,1211172.222,469920.5,547686.4444,193560.8333,84492.11111,44493.55556,34800.33333,5195.111111,32895.5,11.05555556,109176.2222,63176.16667,18648.88889,334,110.8888889,100616.3333,38520,58148.55556,3944.722222,74404.77778,69762.5,1206.111111,238.3888889,155.6111111,22.38888889,3487,81.33333333,41.94444444,0,168.5555556,57.44444444,36.3,29.32777778,2334.338889,1920.416667,1898.344444,1345.622222,1873.883333,1483.022222,0.555555556,0.611111111,0.722222222,0.666666667,0.555555556,0.555555556,8,1.777777778,1,2.666666667,0.555555556
