,teamName,wins,losses,kills,deaths,assists,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,baronKills,dragonKills,riftHeraldKills,duration,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,firstBloods,firstTowers,firstInhibitors,firstBarons,firstDragons
1,100 Thieves,12,6,176,148,479,19661221,8461590,8337931,2861620,1354018,729387,571223,53341,643549,203,2417965,1091516,324447,6215,2140,2057266,781967,1149036,126193,1284062,1175854,21013,3774,2444,379,61886,1450,801,0,2962,1349,23,40,8,42966,617.5,498.4,39931.3,34658.5,31770.3,23769.9,35098.2,27927.2,12,10,11,10,12
2,Cloud9,11,7,205,194,538,19116346,7511409,9125393,2479469,1448990,728456,652217,68257,602895,202,1960873,1088566,330526,5828,1931,1921234,773578,1086483,61104,1241899,1129533,19820,4329,2671,600,64848,1453,744,0,2852,1103,20,32,12,39764,628,516.2,40921.8,34998,33143.2,24563.5,42367.6,29805.4,9,15,12,12,12
3,Clutch Gaming,11,7,161,126,423,18552530,7895216,8820413,1836822,1280476,670231,537108,73073,555913,217,2011954,1073182,291925,5924,2235,1716082,715465,933029,67527,1241580,1131192,20451,3931,2507,346,67677,1441,853,0,2823,1222,22,41,7,40820,627.4,496.9,41205.5,33851.7,32124.2,23327.7,34707,27198.6,4,7,10,11,10
4,Counter Logic Gaming,7,11,188,212,510,18624661,7310968,8559378,2754233,1506125,745560,662382,98119,707774,217,2128305,808741,232654,5680,2314,2087982,874375,1146418,67132,1205927,1116783,19800,3641,2641,224,58548,1437,828,0,2802,1181,11,32,6,41266,599,497.3,39384.1,33859.4,30756.1,23748.9,39614.9,29484.2,11,9,5,5,8
5,Echo Fox,12,6,236,196,620,22269799,8027346,9955826,4286554,1592310,833426,658341,100483,953160,200,2154896,1180591,313221,5589,2522,2139923,858044,1199672,82140,1291528,1190161,20529,4325,2783,509,81152,1473,667,0,2614,1161,20,41,10,41281,615.6,512.8,41821.3,34151.8,33712.6,24059.8,44452.6,28936.2,9,10,11,7,7
6,FlyQuest,6,12,156,217,450,19454345,7494885,9435350,2524032,1394855,706188,615091,73522,697857,223,2413484,886724,218390,5770,2472,2128040,916631,1121880,89471,1246359,1153574,20766,4036,2766,381,69498,1456,697,0,2955,1180,17,30,6,42765,595.8,508.9,38672.8,34125.6,30475.2,23473,40537.9,27467.9,7,5,5,8,7
7,Golden Guardians,4,14,156,219,416,17945370,6461129,8050544,3433612,1299246,670827,563150,65200,571786,208,1936867,702426,186899,5547,2353,1867758,834124,965291,68281,1133536,1064328,19314,3479,2409,318,59598,1410,805,0,3042,1016,13,23,7,39645,604.7,494.6,39856.8,33325.3,31474.7,22881.1,40929.2,27957,7,7,6,5,8
8,OpTic Gaming,5,13,154,198,360,17845525,7720094,8102773,2022583,1244182,691887,492148,60087,526378,212,2095578,883062,243155,6058,2280,1856727,730750,1059526,66387,1202627,1115525,19537,3928,2667,229,71177,1416,840,0,3057,1192,18,27,6,42309,565.3,482.5,37886.9,33856,29923.5,23183.9,37133.5,27482.6,10,4,6,7,5
9,Team Liquid,11,7,174,144,448,16200447,6922760,7380187,1897424,1071964,569125,470771,32007,518142,199,1609390,919557,315383,5469,1792,1478149,585852,842787,49449,1121748,1015499,18802,3747,2425,368,55572,1384,798,0,2754,1142,14,39,7,36069,626.3,507.1,41550.7,34164.5,34111,23661.3,38231.3,27007.8,11,12,11,13,11
10,Team Solo Mid,11,7,191,143,485,21801100,8458569,9858356,3484095,1520858,800884,626406,93512,592119,199,1965172,1137171,335680,6012,1996,1811094,693360,1046674,71005,1339286,1255725,21710,4291,2801,403,62766,1464,755,0,3034,1034,18,48,10,42633,653.4,527.9,42018.1,34567.5,34170.2,24221.2,33729.9,26694.4,10,11,13,12,10
